gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
Potri.001G004500.v4.1	Potri.001G004500.1.v4.1	1541.00	1371.92	506.39	36.16	28.07
Potri.001G004600.v4.1	Potri.001G004600.2.v4.1	1936.00	1766.92	2577.00	142.90	110.93
Potri.001G004700.v4.1	Potri.001G004700.1.v4.1	1414.00	1244.92	5.00	0.39	0.31
Potri.001G004800.v4.1	Potri.001G004800.1.v4.1	4144.00	3974.92	956.00	23.56	18.29
Potri.001G004900.v4.1	Potri.001G004900.1.v4.1	843.00	673.92	0.00	0.00	0.00
Potri.001G005000.v4.1	Potri.001G005000.1.v4.1	1316.00	1146.92	65.00	5.55	4.31
Potri.001G005100.v4.1	Potri.001G005100.1.v4.1	1579.00	1409.92	132.00	9.17	7.12
Potri.001G005400.v4.1	Potri.001G005400.1.v4.1	1182.00	1012.92	0.00	0.00	0.00
Potri.001G005500.v4.1	Potri.001G005500.1.v4.1,Potri.001G005500.4.v4.1	2246.52	2077.44	559.00	26.36	20.47
Potri.001G005600.v4.1	Potri.001G005600.2.v4.1,Potri.001G005600.4.v4.1,Potri.001G005600.5.v4.1	2320.00	2150.92	0.00	0.00	0.00
Potri.001G005700.v4.1	Potri.001G005700.2.v4.1	2061.00	1891.92	0.00	0.00	0.00
Potri.001G005900.v4.1	Potri.001G005900.6.v4.1	2176.00	2006.92	3132.00	152.90	118.70
Potri.001G006000.v4.1	Potri.001G006000.1.v4.1	703.00	533.93	5.36	0.98	0.76
Potri.001G006100.v4.1	Potri.001G006100.1.v4.1	3916.00	3746.92	58.64	1.53	1.19
Potri.001G006200.v4.1	Potri.001G006200.1.v4.1	2314.00	2144.92	3.00	0.14	0.11
Potri.001G006250.v4.1	Potri.001G006250.2.v4.1	396.00	227.16	0.00	0.00	0.00
Potri.001G006300.v4.1	Potri.001G006300.5.v4.1	919.00	749.92	35.00	4.57	3.55
Potri.001G006400.v4.1	Potri.001G006400.2.v4.1,Potri.001G006400.7.v4.1	1094.02	924.94	568.00	60.17	46.71
Potri.001G006500.v4.1	Potri.001G006500.1.v4.1	2134.00	1964.92	3.00	0.15	0.12
Potri.001G006600.v4.1	Potri.001G006600.1.v4.1	2494.00	2324.92	0.00	0.00	0.00
Potri.001G006700.v4.1	Potri.001G006700.1.v4.1	2635.00	2465.92	376.00	14.94	11.60
Potri.001G006750.v4.1	Potri.001G006750.1.v4.1	505.00	335.96	0.00	0.00	0.00
Potri.001G006800.v4.1	Potri.001G006800.2.v4.1	862.00	692.92	0.00	0.00	0.00
Potri.001G006850.v4.1	Potri.001G006850.1.v4.1	1149.00	979.92	0.00	0.00	0.00
Potri.001G006901.v4.1	Potri.001G006901.1.v4.1	1534.00	1364.92	0.00	0.00	0.00
Potri.001G006951.v4.1	Potri.001G006951.1.v4.1	1139.00	969.92	20.00	2.02	1.57
Potri.001G007000.v4.1	Potri.001G007000.1.v4.1	1038.00	868.92	16.00	1.80	1.40
Potri.001G007100.v4.1	Potri.001G007100.1.v4.1	1231.00	1061.92	0.00	0.00	0.00
Potri.001G007200.v4.1	Potri.001G007200.1.v4.1	3083.00	2913.92	179.00	6.02	4.67
Potri.001G007232.v4.1	Potri.001G007232.1.v4.1	555.00	385.94	1.00	0.25	0.20
Potri.001G007300.v4.1	Potri.001G007300.1.v4.1	1878.00	1708.92	307.00	17.60	13.66
Potri.001G007400.v4.1	Potri.001G007400.1.v4.1	1116.00	946.92	0.00	0.00	0.00
Potri.001G007501.v4.1	Potri.001G007501.4.v4.1	1543.00	1373.92	21.00	1.50	1.16
Potri.001G007700.v4.1	Potri.001G007700.1.v4.1,Potri.001G007700.2.v4.1,Potri.001G007700.3.v4.1,Potri.001G007700.4.v4.1,Potri.001G007700.5.v4.1,Potri.001G007700.6.v4.1,Potri.001G007700.7.v4.1,Potri.001G007700.8.v4.1	1388.88	1219.80	0.00	0.00	0.00
Potri.001G007800.v4.1	Potri.001G007800.1.v4.1	1644.00	1474.92	763.00	50.68	39.35
Potri.001G007900.v4.1	Potri.001G007900.2.v4.1,Potri.001G007900.3.v4.1,Potri.001G007900.5.v4.1,Potri.001G007900.6.v4.1	3118.01	2948.93	1323.00	43.96	34.12
Potri.001G008000.v4.1	Potri.001G008000.1.v4.1	2510.00	2340.92	204.00	8.54	6.63
Potri.001G008080.v4.1	Potri.001G008080.1.v4.1	592.00	422.94	0.00	0.00	0.00
Potri.001G008160.v4.1	Potri.001G008160.1.v4.1	709.00	539.93	0.00	0.00	0.00
Potri.001G008240.v4.1	Potri.001G008240.1.v4.1	869.00	699.92	138.28	19.36	15.03
Potri.001G008320.v4.1	Potri.001G008320.1.v4.1	1133.00	963.92	319.72	32.50	25.23
Potri.001G008400.v4.1	Potri.001G008400.1.v4.1,Potri.001G008400.2.v4.1	1269.84	1100.76	392.00	34.89	27.09
Potri.001G008500.v4.1	Potri.001G008500.1.v4.1	1048.00	878.92	12.00	1.34	1.04
Potri.001G008600.v4.1	Potri.001G008600.2.v4.1,Potri.001G008600.3.v4.1	982.50	813.42	0.00	0.00	0.00
Potri.001G008700.v4.1	Potri.001G008700.2.v4.1,Potri.001G008700.4.v4.1,Potri.001G008700.5.v4.1,Potri.001G008700.6.v4.1,Potri.001G008700.7.v4.1	2647.19	2478.12	793.00	31.35	24.34
Potri.001G008800.v4.1	Potri.001G008800.3.v4.1	3186.00	3016.92	663.00	21.53	16.72
Potri.001G008900.v4.1	Potri.001G008900.1.v4.1	1567.00	1397.92	1.00	0.07	0.05
Potri.001G009000.v4.1	Potri.001G009000.1.v4.1	1233.00	1063.92	11.00	1.01	0.79
Potri.001G009100.v4.1	Potri.001G009100.1.v4.1	915.00	745.92	69.00	9.06	7.04
Potri.001G009200.v4.1	Potri.001G009200.2.v4.1	965.00	795.92	3.00	0.37	0.29
Potri.001G009300.v4.1	Potri.001G009300.1.v4.1	704.00	534.93	0.00	0.00	0.00
Potri.001G009501.v4.1	Potri.001G009501.1.v4.1	210.00	50.09	16.00	31.30	24.30
Potri.001G009600.v4.1	Potri.001G009600.1.v4.1	3386.00	3216.92	34.00	1.04	0.80
Potri.001G009700.v4.1	Potri.001G009700.1.v4.1	3079.00	2909.92	1784.00	60.07	46.63
Potri.001G009800.v4.1	Potri.001G009800.14.v4.1,Potri.001G009800.15.v4.1	984.89	815.81	908.00	109.05	84.66
Potri.001G010000.v4.1	Potri.001G010000.4.v4.1	1607.00	1437.92	77.40	5.27	4.09
Potri.001G010200.v4.1	Potri.001G010200.1.v4.1	1625.00	1455.92	150.60	10.13	7.87
Potri.001G010300.v4.1	Potri.001G010300.1.v4.1	1694.00	1524.92	0.00	0.00	0.00
Potri.001G010400.v4.1	Potri.001G010400.2.v4.1	2655.00	2485.92	281.00	11.07	8.60
Potri.001G010500.v4.1	Potri.001G010500.1.v4.1,Potri.001G010500.5.v4.1	1640.84	1471.76	168.00	11.18	8.68
Potri.001G010600.v4.1	Potri.001G010600.1.v4.1	735.00	565.93	0.00	0.00	0.00
Potri.001G010700.v4.1	Potri.001G010700.2.v4.1,Potri.001G010700.4.v4.1	2232.00	2062.92	207.00	9.83	7.63
Potri.001G010800.v4.1	Potri.001G010800.1.v4.1	2278.00	2108.92	727.05	33.78	26.22
Potri.001G010900.v4.1	Potri.001G010900.2.v4.1	1987.00	1817.92	0.00	0.00	0.00
Potri.001G011000.v4.1	Potri.001G011000.1.v4.1	1388.00	1218.92	3.18	0.26	0.20
Potri.001G011200.v4.1	Potri.001G011200.1.v4.1	1361.00	1191.92	169.72	13.95	10.83
Potri.001G011300.v4.1	Potri.001G011300.1.v4.1	1180.00	1010.92	39.85	3.86	3.00
Potri.001G011401.v4.1	Potri.001G011401.1.v4.1	1676.00	1506.92	2.00	0.13	0.10
Potri.001G011500.v4.1	Potri.001G011500.1.v4.1	1449.00	1279.92	182.00	13.93	10.82
Potri.001G011700.v4.1	Potri.001G011700.1.v4.1	1468.00	1298.92	799.00	60.27	46.79
Potri.001G011800.v4.1	Potri.001G011800.1.v4.1	3035.00	2865.92	467.00	15.97	12.39
Potri.001G011900.v4.1	Potri.001G011900.2.v4.1,Potri.001G011900.3.v4.1,Potri.001G011900.4.v4.1	5807.24	5638.16	1562.00	27.14	21.07
Potri.001G012200.v4.1	Potri.001G012200.1.v4.1,Potri.001G012200.6.v4.1,Potri.001G012200.7.v4.1	5271.35	5102.28	364.00	6.99	5.43
Potri.001G012300.v4.1	Potri.001G012300.1.v4.1,Potri.001G012300.2.v4.1	2697.82	2528.74	70.00	2.71	2.11
Potri.001G012401.v4.1	Potri.001G012401.1.v4.1	1493.00	1323.92	0.00	0.00	0.00
Potri.001G012500.v4.1	Potri.001G012500.1.v4.1	1353.00	1183.92	0.00	0.00	0.00
Potri.001G012601.v4.1	Potri.001G012601.1.v4.1	660.00	490.93	0.00	0.00	0.00
Potri.001G012700.v4.1	Potri.001G012700.1.v4.1	1316.00	1146.92	56.00	4.78	3.71
Potri.001G012800.v4.1	Potri.001G012800.1.v4.1	3121.00	2951.92	271.00	8.99	6.98
Potri.001G012901.v4.1	Potri.001G012901.1.v4.1	1387.00	1217.92	11.02	0.89	0.69
Potri.001G013000.v4.1	Potri.001G013000.1.v4.1	1311.00	1141.92	1.24	0.11	0.08
Potri.001G013101.v4.1	Potri.001G013101.1.v4.1	1000.00	830.92	0.00	0.00	0.00
Potri.001G013200.v4.1	Potri.001G013200.1.v4.1	1446.00	1276.92	184.67	14.17	11.00
Potri.001G013300.v4.1	Potri.001G013300.1.v4.1,Potri.001G013300.2.v4.1	2923.22	2754.15	231.33	8.23	6.39
Potri.001G013400.v4.1	Potri.001G013400.1.v4.1	2339.00	2169.92	126.00	5.69	4.42
Potri.001G013500.v4.1	Potri.001G013500.1.v4.1	1744.00	1574.92	109.00	6.78	5.26
Potri.001G013600.v4.1	Potri.001G013600.2.v4.1,Potri.001G013600.3.v4.1	2682.00	2512.92	116.00	4.52	3.51
Potri.001G013700.v4.1	Potri.001G013700.1.v4.1	1174.00	1004.92	118.00	11.50	8.93
Potri.001G013800.v4.1	Potri.001G013800.1.v4.1,Potri.001G013800.10.v4.1,Potri.001G013800.11.v4.1,Potri.001G013800.12.v4.1,Potri.001G013800.13.v4.1,Potri.001G013800.14.v4.1,Potri.001G013800.7.v4.1,Potri.001G013800.9.v4.1	2149.32	1980.24	373.00	18.45	14.33
Potri.001G013900.v4.1	Potri.001G013900.1.v4.1	2305.00	2135.92	1291.00	59.22	45.97
Potri.001G014000.v4.1	Potri.001G014000.4.v4.1	939.00	769.92	100.00	12.73	9.88
Potri.001G014025.v4.1	Potri.001G014025.1.v4.1	228.00	65.33	0.00	0.00	0.00
Potri.001G014050.v4.1	Potri.001G014050.1.v4.1	921.00	751.92	21.00	2.74	2.12
Potri.001G014100.v4.1	Potri.001G014100.1.v4.1	2532.00	2362.92	9.00	0.37	0.29
Potri.001G014200.v4.1	Potri.001G014200.1.v4.1	798.00	628.93	0.00	0.00	0.00
Potri.001G014301.v4.1	Potri.001G014301.1.v4.1	670.00	500.93	1.00	0.20	0.15
Potri.001G014401.v4.1	Potri.001G014401.1.v4.1	2337.00	2167.92	2.00	0.09	0.07
Potri.001G014501.v4.1	Potri.001G014501.1.v4.1	1723.00	1553.92	0.00	0.00	0.00
Potri.001G014600.v4.1	Potri.001G014600.1.v4.1	2415.00	2245.92	0.00	0.00	0.00
Potri.001G014700.v4.1	Potri.001G014700.1.v4.1	2439.00	2269.92	2.00	0.09	0.07
Potri.001G014900.v4.1	Potri.001G014900.2.v4.1,Potri.001G014900.3.v4.1	2277.57	2108.49	32.00	1.49	1.15
Potri.001G015000.v4.1	Potri.001G015000.1.v4.1	1164.00	994.92	551.00	54.26	42.12
Potri.001G015100.v4.1	Potri.001G015100.1.v4.1	1797.00	1627.92	7.00	0.42	0.33
Potri.001G015300.v4.1	Potri.001G015300.1.v4.1,Potri.001G015300.2.v4.1	2895.38	2726.30	169.00	6.07	4.71
Potri.001G015400.v4.1	Potri.001G015400.1.v4.1	3090.00	2920.92	8794.00	294.98	229.00
Potri.001G015450.v4.1	Potri.001G015450.1.v4.1	1301.00	1131.92	10.00	0.87	0.67
Potri.001G015500.v4.1	Potri.001G015500.1.v4.1	3035.00	2865.92	11612.31	396.99	308.19
Potri.001G015601.v4.1	Potri.001G015601.1.v4.1	798.00	628.93	4255.93	663.01	514.70
Potri.001G015700.v4.1	Potri.001G015700.1.v4.1	3356.00	3186.92	24.00	0.74	0.57
Potri.001G015801.v4.1	Potri.001G015801.1.v4.1	210.00	50.09	0.00	0.00	0.00
Potri.001G015900.v4.1	Potri.001G015900.1.v4.1,Potri.001G015900.2.v4.1	2939.56	2770.48	612.00	21.64	16.80
Potri.001G015966.v4.1	Potri.001G015966.1.v4.1	675.00	505.93	4.00	0.77	0.60
Potri.001G016032.v4.1	Potri.001G016032.1.v4.1	924.00	754.92	20.00	2.60	2.02
Potri.001G016100.v4.1	Potri.001G016100.2.v4.1	273.00	106.53	0.00	0.00	0.00
Potri.001G016200.v4.1	Potri.001G016200.1.v4.1	1688.00	1518.92	248.00	16.00	12.42
Potri.001G016300.v4.1	Potri.001G016300.1.v4.1	2090.00	1920.92	583.00	29.74	23.08
Potri.001G016500.v4.1	Potri.001G016500.1.v4.1	1458.00	1288.92	0.00	0.00	0.00
Potri.001G016600.v4.1	Potri.001G016600.1.v4.1,Potri.001G016600.2.v4.1	2243.81	2074.73	375.00	17.71	13.75
Potri.001G016700.v4.1	Potri.001G016700.2.v4.1	665.00	495.93	74.73	14.76	11.46
Potri.001G016800.v4.1	Potri.001G016800.3.v4.1	2016.00	1846.92	2.00	0.11	0.08
Potri.001G016900.v4.1	Potri.001G016900.1.v4.1	778.00	608.93	18.23	2.93	2.28
Potri.001G017000.v4.1	Potri.001G017000.1.v4.1,Potri.001G017000.2.v4.1,Potri.001G017000.3.v4.1	1981.56	1812.48	370.04	20.00	15.53
Potri.001G017100.v4.1	Potri.001G017100.3.v4.1	1805.00	1635.92	3.00	0.18	0.14
Potri.001G017300.v4.1	Potri.001G017300.9.v4.1	2197.00	2027.92	668.00	32.27	25.05
Potri.001G017500.v4.1	Potri.001G017500.1.v4.1	1452.00	1282.92	2.00	0.15	0.12
Potri.001G017600.v4.1	Potri.001G017600.7.v4.1	1606.00	1436.92	6.00	0.41	0.32
Potri.001G017900.v4.1	Potri.001G017900.3.v4.1	1494.00	1324.92	2.00	0.15	0.11
Potri.001G018100.v4.1	Potri.001G018100.5.v4.1,Potri.001G018100.6.v4.1	303.00	135.35	20.00	14.48	11.24
Potri.001G018200.v4.1	Potri.001G018200.1.v4.1	4637.00	4467.92	2240.00	49.12	38.13
Potri.001G018300.v4.1	Potri.001G018300.1.v4.1	1643.00	1473.92	68.00	4.52	3.51
Potri.001G018400.v4.1	Potri.001G018400.1.v4.1	2432.00	2262.92	0.00	0.00	0.00
Potri.001G018500.v4.1	Potri.001G018500.1.v4.1	865.00	695.92	113.00	15.91	12.35
Potri.001G018600.v4.1	Potri.001G018600.2.v4.1,Potri.001G018600.3.v4.1	1020.49	851.42	596.00	68.58	53.24
Potri.001G018700.v4.1	Potri.001G018700.2.v4.1,Potri.001G018700.5.v4.1,Potri.001G018700.6.v4.1,Potri.001G018700.7.v4.1	2236.39	2067.31	19.00	0.90	0.70
Potri.001G018800.v4.1	Potri.001G018800.2.v4.1	1580.00	1410.92	271.00	18.82	14.61
Potri.001G018900.v4.1	Potri.001G018900.1.v4.1	1463.00	1293.92	0.00	0.00	0.00
Potri.001G019000.v4.1	Potri.001G019000.1.v4.1,Potri.001G019000.2.v4.1,Potri.001G019000.3.v4.1,Potri.001G019000.4.v4.1	3016.46	2847.38	440.00	15.14	11.75
Potri.001G019100.v4.1	Potri.001G019100.1.v4.1,Potri.001G019100.3.v4.1,Potri.001G019100.4.v4.1	3494.20	3325.12	144.00	4.24	3.29
Potri.001G019200.v4.1	Potri.001G019200.1.v4.1	3322.00	3152.92	56.00	1.74	1.35
Potri.001G019400.v4.1	Potri.001G019400.1.v4.1,Potri.001G019400.2.v4.1	1698.72	1529.64	15.00	0.96	0.75
Potri.001G019500.v4.1	Potri.001G019500.1.v4.1	2748.00	2578.92	44.00	1.67	1.30
Potri.001G019600.v4.1	Potri.001G019600.10.v4.1,Potri.001G019600.9.v4.1	1200.96	1031.88	81.00	7.69	5.97
Potri.001G019700.v4.1	Potri.001G019700.1.v4.1	1018.00	848.92	206.00	23.78	18.46
Potri.001G019795.v4.1	Potri.001G019795.1.v4.1,Potri.001G019795.2.v4.1	1602.00	1432.92	0.00	0.00	0.00
Potri.001G019890.v4.1	Potri.001G019890.1.v4.1,Potri.001G019890.2.v4.1	1731.00	1561.92	3.00	0.19	0.15
Potri.001G019985.v4.1	Potri.001G019985.1.v4.1	1752.00	1582.92	0.00	0.00	0.00
Potri.001G020080.v4.1	Potri.001G020080.1.v4.1	1390.00	1220.92	0.00	0.00	0.00
Potri.001G020140.v4.1	Potri.001G020140.1.v4.1	1295.00	1125.92	0.00	0.00	0.00
Potri.001G020200.v4.1	Potri.001G020200.1.v4.1,Potri.001G020200.3.v4.1,Potri.001G020200.4.v4.1	1702.00	1532.92	119.00	7.61	5.90
Potri.001G020250.v4.1	Potri.001G020250.1.v4.1	546.00	376.94	0.00	0.00	0.00
Potri.001G020300.v4.1	Potri.001G020300.15.v4.1,Potri.001G020300.16.v4.1,Potri.001G020300.17.v4.1,Potri.001G020300.18.v4.1,Potri.001G020300.19.v4.1,Potri.001G020300.2.v4.1,Potri.001G020300.20.v4.1,Potri.001G020300.21.v4.1,Potri.001G020300.22.v4.1,Potri.001G020300.3.v4.1	3206.43	3037.36	1112.00	35.87	27.85
Potri.001G020400.v4.1	Potri.001G020400.1.v4.1	1350.00	1180.92	0.00	0.00	0.00
Potri.001G020501.v4.1	Potri.001G020501.1.v4.1	891.00	721.92	19.00	2.58	2.00
Potri.001G020600.v4.1	Potri.001G020600.1.v4.1	3676.00	3506.92	17.00	0.47	0.37
Potri.001G020700.v4.1	Potri.001G020700.3.v4.1	882.00	712.92	126.00	17.32	13.44
Potri.001G020900.v4.1	Potri.001G020900.1.v4.1	2053.00	1883.92	27.00	1.40	1.09
Potri.001G021000.v4.1	Potri.001G021000.1.v4.1	2149.00	1979.92	11.00	0.54	0.42
Potri.001G021100.v4.1	Potri.001G021100.1.v4.1	2147.00	1977.92	54.00	2.67	2.08
Potri.001G021200.v4.1	Potri.001G021200.1.v4.1	960.00	790.92	1.00	0.12	0.10
Potri.001G021300.v4.1	Potri.001G021300.1.v4.1	760.00	590.93	4.00	0.66	0.51
Potri.001G021500.v4.1	Potri.001G021500.3.v4.1	2896.00	2726.92	120.00	4.31	3.35
Potri.001G021600.v4.1	Potri.001G021600.2.v4.1	1376.00	1206.92	60.00	4.87	3.78
Potri.001G021801.v4.1	Potri.001G021801.1.v4.1	1360.00	1190.92	0.00	0.00	0.00
Potri.001G021900.v4.1	Potri.001G021900.1.v4.1	2363.00	2193.92	0.00	0.00	0.00
Potri.001G022100.v4.1	Potri.001G022100.1.v4.1	2501.00	2331.92	0.00	0.00	0.00
Potri.001G022150.v4.1	Potri.001G022150.1.v4.1	776.00	606.93	0.00	0.00	0.00
Potri.001G022400.v4.1	Potri.001G022400.1.v4.1	2020.00	1850.92	105.00	5.56	4.31
Potri.001G022500.v4.1	Potri.001G022500.2.v4.1	1035.00	865.92	292.00	33.04	25.65
Potri.001G022601.v4.1	Potri.001G022601.1.v4.1	1391.00	1221.92	0.00	0.00	0.00
Potri.001G022700.v4.1	Potri.001G022700.1.v4.1	2110.00	1940.92	150.00	7.57	5.88
Potri.001G022800.v4.1	Potri.001G022800.2.v4.1	1857.00	1687.92	1.00	0.06	0.05
Potri.001G022900.v4.1	Potri.001G022900.1.v4.1,Potri.001G022900.2.v4.1,Potri.001G022900.3.v4.1	2083.00	1913.92	11.00	0.56	0.44
Potri.001G023000.v4.1	Potri.001G023000.1.v4.1,Potri.001G023000.3.v4.1	952.74	783.66	81.00	10.13	7.86
Potri.001G023100.v4.1	Potri.001G023100.1.v4.1	1124.00	954.92	467.00	47.91	37.20
Potri.001G023200.v4.1	Potri.001G023200.1.v4.1	676.00	506.93	0.00	0.00	0.00
Potri.001G023300.v4.1	Potri.001G023300.2.v4.1	628.00	458.93	0.00	0.00	0.00
Potri.001G023400.v4.1	Potri.001G023400.1.v4.1	2170.00	2000.92	0.00	0.00	0.00
Potri.001G023500.v4.1	Potri.001G023500.1.v4.1,Potri.001G023500.2.v4.1	2005.72	1836.64	147.00	7.84	6.09
Potri.001G023600.v4.1	Potri.001G023600.1.v4.1	819.00	649.93	0.00	0.00	0.00
Potri.001G023701.v4.1	Potri.001G023701.1.v4.1	174.00	23.53	0.00	0.00	0.00
Potri.001G023800.v4.1	Potri.001G023800.1.v4.1	1284.00	1114.92	4.00	0.35	0.27
Potri.001G023900.v4.1	Potri.001G023900.1.v4.1	1764.00	1594.92	1.00	0.06	0.05
Potri.001G024000.v4.1	Potri.001G024000.1.v4.1	808.00	638.93	100.00	15.33	11.90
Potri.001G024100.v4.1	Potri.001G024100.1.v4.1	3619.00	3449.92	1028.00	29.19	22.66
Potri.001G024200.v4.1	Potri.001G024200.1.v4.1	1581.00	1411.92	429.00	29.77	23.11
Potri.001G024300.v4.1	Potri.001G024300.1.v4.1	1811.00	1641.92	218.00	13.01	10.10
Potri.001G024401.v4.1	Potri.001G024401.1.v4.1	300.00	132.44	0.00	0.00	0.00
Potri.001G024500.v4.1	Potri.001G024500.1.v4.1	1296.00	1126.92	137.00	11.91	9.25
Potri.001G024600.v4.1	Potri.001G024600.10.v4.1,Potri.001G024600.11.v4.1,Potri.001G024600.12.v4.1,Potri.001G024600.13.v4.1,Potri.001G024600.14.v4.1,Potri.001G024600.15.v4.1,Potri.001G024600.4.v4.1,Potri.001G024600.6.v4.1,Potri.001G024600.7.v4.1,Potri.001G024600.8.v4.1,Potri.001G024600.9.v4.1	2970.79	2801.71	416.00	14.55	11.29
Potri.001G024800.v4.1	Potri.001G024800.1.v4.1	1312.00	1142.92	137.00	11.74	9.12
Potri.001G024900.v4.1	Potri.001G024900.1.v4.1	1341.00	1171.92	288.00	24.08	18.69
